Time stamp,Open,Close,High,Low,Volume
2020-02-13 10:59:00,325.42,325.33,325.48,325.31,51249.0
2020-02-13 10:58:00,325.3,325.4,325.48,325.21,256959.0
2020-02-13 10:57:00,325.3,325.4,325.48,325.21,256959.0
2020-02-13 10:55:00,325.25,325.24,325.28,325.11,53892.0
2020-02-13 10:54:00,325.25,325.24,325.28,325.11,53892.0
2020-02-13 10:53:00,325.17,325.23,325.31,325.15,76241.0
2020-02-13 10:52:00,325.19,325.14,325.23,325.04,64274.0
2020-02-13 10:51:00,324.93,325.2,325.2,324.93,127670.0
2020-02-13 10:50:00,324.7,324.93,324.93,324.61,79595.0
2020-02-13 10:49:00,324.92,324.69,324.97,324.65,78278.0
2020-02-13 10:48:00,324.75,324.92,324.94,324.67,70917.0
2020-02-13 10:47:00,324.66,324.75,324.82,324.65,77356.0
2020-02-13 10:46:00,324.49,324.65,324.72,324.47,62405.0
2020-02-13 10:45:00,324.5,324.43,324.57,324.43,63285.0
2020-02-13 10:44:00,324.25,324.49,324.52,324.2,79902.0
2020-02-13 10:43:00,324.05,324.28,324.34,324.03,92661.0
2020-02-13 10:42:00,324.12,324.04,324.16,323.95,49241.0
2020-02-13 10:41:00,323.95,324.09,324.1,323.85,57059.0
2020-02-13 10:40:00,323.71,323.93,323.97,323.54,83678.0
2020-02-13 10:39:00,323.84,323.71,323.9,323.6,75771.0
2020-02-13 10:38:00,323.95,323.8,324.02,323.7,64655.0
2020-02-13 10:37:00,324.04,323.94,324.14,323.77,64281.0
2020-02-13 10:36:00,324.21,324.02,324.21,323.87,50144.0
2020-02-13 10:35:00,324.14,324.21,324.29,323.99,59146.0
2020-02-13 10:34:00,323.98,324.14,324.24,323.94,95611.0
2020-02-13 10:33:00,323.79,323.97,324.0,323.64,54379.0
2020-02-13 10:32:00,323.93,323.8,323.95,323.73,70629.0
2020-02-13 10:31:00,324.09,323.93,324.12,323.9,60058.0
2020-02-13 10:30:00,323.99,324.06,324.13,323.87,68643.0
2020-02-13 10:29:00,323.66,323.99,324.0,323.58,116033.0
2020-02-13 10:28:00,324.06,323.68,324.09,323.67,85064.0
2020-02-13 10:27:00,324.01,324.05,324.19,324.01,73970.0
2020-02-13 10:26:00,324.19,324.02,324.25,323.85,134724.0
2020-02-13 10:25:00,324.4,324.2,324.4,324.11,90573.0
2020-02-13 10:24:00,324.52,324.39,324.64,324.37,46472.0
2020-02-13 10:23:00,324.42,324.53,324.59,324.42,62505.0
2020-02-13 10:22:00,324.38,324.42,324.55,324.25,103437.0
2020-02-13 10:21:00,324.55,324.38,324.59,324.34,55863.0
2020-02-13 10:20:00,324.93,324.53,324.93,324.43,100820.0
2020-02-13 10:19:00,324.94,324.92,325.09,324.88,65232.0
2020-02-13 10:18:00,325.03,324.94,325.04,324.88,50266.0
2020-02-13 10:17:00,325.01,325.03,325.12,324.9,60877.0
2020-02-13 10:16:00,325.16,324.99,325.18,324.82,82378.0
2020-02-13 10:15:00,325.1,325.15,325.27,325.1,48607.0
2020-02-13 10:14:00,325.2,325.12,325.27,325.1,61792.0
2020-02-13 10:13:00,325.09,325.18,325.19,324.93,60481.0
2020-02-13 10:12:00,324.96,325.1,325.15,324.88,59848.0
2020-02-13 10:11:00,324.98,325.01,325.11,324.81,67587.0
2020-02-13 10:10:00,324.74,324.98,325.06,324.74,177290.0
2020-02-13 10:09:00,324.98,324.77,324.98,324.55,85020.0
2020-02-13 10:08:00,324.86,324.93,325.18,324.84,85648.0
2020-02-13 10:07:00,324.8,324.83,324.96,324.7,54624.0
2020-02-13 10:06:00,324.73,324.81,324.92,324.67,64830.0
2020-02-13 10:05:00,324.47,324.68,324.73,324.37,60019.0
2020-02-13 10:04:00,324.38,324.48,324.81,324.34,117357.0
2020-02-13 10:03:00,324.45,324.4,324.51,324.25,71629.0
2020-02-13 10:02:00,324.32,324.44,324.65,324.17,150846.0
2020-02-13 10:01:00,324.61,324.31,324.74,324.3,98083.0
2020-02-13 10:00:00,324.64,324.58,324.96,324.58,111540.0
2020-02-13 09:59:00,324.83,324.63,324.99,324.48,116500.0
2020-02-13 09:58:00,325.43,324.94,325.43,324.94,153117.0
2020-02-13 09:57:00,325.44,325.48,325.51,325.44,66972.0
2020-02-13 09:56:00,325.6,325.34,325.6,325.34,129947.0
2020-02-13 09:55:00,325.84,325.76,325.9,325.76,98997.0
2020-02-13 09:54:00,325.6,325.68,325.68,325.51,75690.0
2020-02-13 09:53:00,325.61,325.59,325.61,325.59,109252.0
2020-02-13 09:52:00,325.34,325.58,325.58,325.34,106442.0
2020-02-13 09:51:00,325.14,325.23,325.23,325.14,88061.0
2020-02-13 09:50:00,325.13,325.12,325.13,325.09,110187.0
2020-02-13 09:49:00,324.79,325.02,325.02,324.79,156144.0
2020-02-13 09:48:00,325.46,324.92,325.46,324.92,170814.0
2020-02-13 09:47:00,325.48,325.51,325.51,325.48,98608.0
2020-02-13 09:46:00,325.55,325.55,325.67,325.55,91066.0
2020-02-13 09:45:00,325.24,325.62,325.62,325.24,176342.0
2020-02-13 09:44:00,325.18,325.21,325.21,325.15,47209.0
2020-02-13 09:43:00,325.18,325.22,325.22,325.18,64537.0
2020-02-13 09:42:00,325.3,325.2,325.3,325.02,98795.0
2020-02-13 09:41:00,325.43,325.34,325.48,325.34,144802.0
2020-02-13 09:40:00,325.03,325.3,325.3,325.03,119431.0
2020-02-13 09:39:00,325.14,324.9,325.2,324.9,120544.0
2020-02-13 09:38:00,325.15,325.28,325.28,325.15,129095.0
2020-02-13 09:37:00,324.87,325.22,325.22,324.87,100782.0
2020-02-13 09:36:00,325.11,324.98,325.2,324.98,134572.0
2020-02-13 09:35:00,325.4,325.25,325.4,325.25,187410.0
2020-02-13 09:34:00,324.82,325.18,325.18,324.82,194055.0
2020-02-13 09:33:00,325.0,324.37,325.2,324.34,185793.0
2020-02-13 09:32:00,324.97,324.99,325.2,324.45,215538.0
2020-02-13 09:31:00,323.45,324.97,324.98,323.39,244635.0
2020-02-13 09:30:00,323.4,323.4,323.4,323.4,1652359.0
2020-02-12 15:59:00,327.14,327.2,327.21,327.07,374014.0
2020-02-12 15:58:00,326.95,327.14,327.17,326.95,270061.0
2020-02-12 15:57:00,326.97,326.95,327.04,326.86,189433.0
2020-02-12 15:56:00,327.0,326.95,327.17,326.94,254515.0
2020-02-12 15:55:00,327.14,327.0,327.15,326.75,216554.0
2020-02-12 15:54:00,327.03,327.14,327.15,326.87,257808.0
2020-02-12 15:53:00,326.81,327.01,327.05,326.75,281264.0
2020-02-12 15:52:00,326.68,326.84,326.87,326.68,158230.0
2020-02-12 15:51:00,326.69,326.69,326.8,326.62,138579.0
2020-02-12 15:50:00,326.27,326.7,326.73,326.25,205241.0
2020-02-12 15:49:00,326.51,326.27,326.54,326.24,147474.0
2020-02-12 15:48:00,326.2,326.51,326.52,326.2,191642.0
2020-02-12 15:47:00,326.19,326.2,326.21,326.14,97244.0
2020-02-12 15:46:00,325.96,326.2,326.22,325.96,203167.0
2020-02-12 15:45:00,325.99,325.96,326.0,325.91,77242.0
2020-02-12 15:44:00,325.98,325.99,326.0,325.89,100944.0
2020-02-12 15:43:00,325.99,325.98,326.0,325.86,80096.0
2020-02-12 15:42:00,325.95,326.0,326.0,325.94,45548.0
2020-02-12 15:41:00,325.9,325.95,326.0,325.87,124461.0
2020-02-12 15:40:00,325.85,325.89,325.95,325.83,92730.0
2020-02-12 15:39:00,325.92,325.83,325.92,325.75,63888.0
2020-02-12 15:38:00,325.81,325.92,325.94,325.75,76197.0
2020-02-12 15:37:00,325.75,325.8,325.83,325.71,83338.0
2020-02-12 15:36:00,325.7,325.75,325.75,325.67,58394.0
2020-02-12 15:35:00,325.63,325.71,325.76,325.55,129945.0
2020-02-12 15:34:00,325.44,325.64,325.65,325.44,123687.0
